Delivery Date,Delivery Hour,Delivery Interval,Settlement Point,Settlement Point Price
01/02/2022,4,4,HB_NORTH,3.57
01/02/2022,4,1,HB_SOUTH,17.86
01/02/2022,4,2,HB_SOUTH,14.85
01/02/2022,4,3,HB_SOUTH,2.55
01/02/2022,4,4,HB_SOUTH,1.58
01/02/2022,4,1,HB_WEST,17.82
01/02/2022,4,2,HB_WEST,14.81
01/02/2022,4,3,HB_WEST,2.52
01/02/2022,4,4,HB_WEST,1.56
01/02/2022,5,1,HB_HOUSTON,6.25
01/02/2022,5,2,HB_HOUSTON,7.47
01/02/2022,5,3,HB_HOUSTON,16.15
01/02/2022,5,4,HB_HOUSTON,18.21
01/02/2022,5,1,HB_NORTH,7.56
01/02/2022,5,2,HB_NORTH,9.03
01/02/2022,5,3,HB_NORTH,18.48
01/02/2022,5,4,HB_NORTH,20.65
01/02/2022,5,1,HB_SOUTH,5.19
01/02/2022,5,2,HB_SOUTH,5.97
01/02/2022,5,3,HB_SOUTH,12.88
01/02/2022,5,4,HB_SOUTH,14.62
01/02/2022,5,1,HB_WEST,5.28
01/02/2022,5,2,HB_WEST,6.73
01/02/2022,5,3,HB_WEST,15.71
01/02/2022,5,4,HB_WEST,17.75
01/02/2022,6,1,HB_HOUSTON,19.35
01/02/2022,6,2,HB_HOUSTON,19.45
01/02/2022,6,3,HB_HOUSTON,19.72
01/02/2022,6,4,HB_HOUSTON,19.81
01/02/2022,6,1,HB_NORTH,21.72
01/02/2022,6,2,HB_NORTH,21.8
01/02/2022,6,3,HB_NORTH,22.09
01/02/2022,6,4,HB_NORTH,22.32
01/02/2022,6,1,HB_SOUTH,16.6
01/02/2022,6,2,HB_SOUTH,16.69
01/02/2022,6,3,HB_SOUTH,16.93
01/02/2022,6,4,HB_SOUTH,16.59
01/02/2022,6,1,HB_WEST,18.67
01/02/2022,6,2,HB_WEST,18.75
01/02/2022,6,3,HB_WEST,19.01
01/02/2022,6,4,HB_WEST,19.31
01/02/2022,7,1,HB_HOUSTON,19.9
01/02/2022,7,2,HB_HOUSTON,19.98
01/02/2022,7,3,HB_HOUSTON,20.13
01/02/2022,7,4,HB_HOUSTON,20.34
01/02/2022,7,1,HB_NORTH,22.37
01/02/2022,7,2,HB_NORTH,22.56
01/02/2022,7,3,HB_NORTH,22.7
01/02/2022,7,4,HB_NORTH,22.63
01/02/2022,7,1,HB_SOUTH,15.47
01/02/2022,7,2,HB_SOUTH,14.43
01/02/2022,7,3,HB_SOUTH,14.79
01/02/2022,7,4,HB_SOUTH,15.06
01/02/2022,7,1,HB_WEST,19.86
01/02/2022,7,2,HB_WEST,20.29
01/02/2022,7,3,HB_WEST,20.39
01/02/2022,7,4,HB_WEST,20.97
01/02/2022,8,1,HB_HOUSTON,20.77
01/02/2022,8,2,HB_HOUSTON,21.43
01/02/2022,8,3,HB_HOUSTON,21.68
01/02/2022,8,4,HB_HOUSTON,22.04
01/02/2022,8,1,HB_NORTH,22.75
01/02/2022,8,2,HB_NORTH,22.83
01/02/2022,8,3,HB_NORTH,22.98
01/02/2022,8,4,HB_NORTH,23.35
01/02/2022,8,1,HB_SOUTH,15.32
01/02/2022,8,2,HB_SOUTH,16.39
01/02/2022,8,3,HB_SOUTH,16.74
01/02/2022,8,4,HB_SOUTH,17.16
01/02/2022,8,1,HB_WEST,21.94
01/02/2022,8,2,HB_WEST,23.23
01/02/2022,8,3,HB_WEST,23.61
01/02/2022,8,4,HB_WEST,23.98
01/02/2022,9,1,HB_HOUSTON,22.31
01/02/2022,9,2,HB_HOUSTON,22.37
01/02/2022,9,3,HB_HOUSTON,22.51
01/02/2022,9,4,HB_HOUSTON,21.58
01/02/2022,9,1,HB_NORTH,23.41
01/02/2022,9,2,HB_NORTH,23.55
01/02/2022,9,3,HB_NORTH,23.38
